orderId,Account,Order ID,B/S,Contract,Product,Product Description,avgPrice,filledQty,Fill Time,lastCommandId,Status,_priceFormat,_priceFormatType,_tickSize,spreadDefinitionId,Version ID,Timestamp,Date,Quantity,Text,Type,Limit Price,Stop Price,decimalLimit,decimalStop,Filled Qty,Avg Fill Price,decimalFillAvg
156139710007,APEX2480900000012,156139710007, Buy,MBTZ4,MBT,Micro Bitcoin,,,,156139710007, Rejected,0,0,5.0,,156139710007,12/25/2024 22:39:11,12/25/24,1,Chart, Limit,98285,,98285.0,,,,
156139710009,APEX2480900000012,156139710009, Buy,MBTZ4,MBT,Micro Bitcoin,,,,156139710009, Rejected,0,0,5.0,,156139710009,12/25/2024 22:40:43,12/25/24,1,Chart, Market,,,,,,,
156139710011,APEX2480900000012,156139710011, Buy,MBTZ4,MBT,Micro Bitcoin,,,,156139710011, Rejected,0,0,5.0,,156139710011,12/25/2024 22:42:01,12/25/24,1,Chart, Limit,98350,,98350.0,,,,
156139710016,APEX2480900000012,156139710016, Buy,MBTZ4,MBT,Micro Bitcoin,,,,156139710016, Rejected,0,0,5.0,,156139710016,12/27/2024 12:17:41,12/27/24,1,Chart, Market,,,,,,,
156139710018,APEX2480900000012,156139710018, Buy,MNQH5,MNQ,Micro E-mini NASDAQ-100,21581.75,2,12/27/2024 12:17:44,156139710018, Filled,-2,0,0.25,,156139710018,12/27/2024 12:17:44,12/27/24,2,Chart, Market,,,,,2,21581.75,21581.75
156139710026,APEX2480900000012,156139710026, Sell,MNQH5,MNQ,Micro E-mini NASDAQ-100,21580.5,2,12/27/2024 12:17:46,156139710026, Filled,-2,0,0.25,,156139710026,12/27/2024 12:17:46,12/27/24,2,Exit, Market,,,,,2,21580.50,21580.5
156139710034,APEX2480900000012,156139710034, Buy,MBTZ4,MBT,Micro Bitcoin,,,,156139710034, Rejected,0,0,5.0,,156139710034,12/27/2024 12:18:05,12/27/24,5,Chart, Market,,,,,,,
156139710036,APEX2480900000012,156139710036, Buy,MNQH5,MNQ,Micro E-mini NASDAQ-100,21590.0,2,12/27/2024 12:19:53,156139710036, Filled,-2,0,0.25,,156139710036,12/27/2024 12:19:53,12/27/24,2,Chart, Market,,,,,2,21590.00,21590.0
156139710042,APEX2480900000012,156139710042, Buy,MNQH5,MNQ,Micro E-mini NASDAQ-100,21590.0,2,12/27/2024 12:20:02,156139710042, Filled,-2,0,0.25,,156139710042,12/27/2024 12:20:02,12/27/24,2,Chart, Market,,,,,2,21590.00,21590.0
156139710048,APEX2480900000012,156139710048, Sell,MNQH5,MNQ,Micro E-mini NASDAQ-100,21602.5,4,12/27/2024 12:25:08,156139710048, Filled,-2,0,0.25,,156139710048,12/27/2024 12:21:14,12/27/24,4,Chart, Limit,21602.50,,21602.5,,4,21602.50,21602.5
156139710051,APEX2480900000012,156139710051, Buy,MBTZ4,MBT,Micro Bitcoin,,,,156139710051, Rejected,0,0,5.0,,156139710051,12/27/2024 12:21:37,12/27/24,1,Chart, Market,,,,,,,
156139710053,APEX2480900000012,156139710053, Sell,MNQH5,MNQ,Micro E-mini NASDAQ-100,21579.75,4,12/27/2024 12:26:47,156139710053, Filled,-2,0,0.25,,156139710053,12/27/2024 12:22:31,12/27/24,4,Chart, Stop,,21579.75,,21579.75,4,21579.75,21579.75
156139710056,APEX2480900000012,156139710056, Buy,MBTF5,MBT,Micro Bitcoin,95045.0,1,12/27/2024 12:22:54,156139710056, Filled,0,0,5.0,,156139710056,12/27/2024 12:22:54,12/27/24,1,Chart, Market,,,,,1,95045,95045.0
156139710070,APEX2480900000012,156139710070, Sell,MBTF5,MBT,Micro Bitcoin,95065.0,1,12/27/2024 12:25:20,156139710070, Filled,0,0,5.0,,156139710070,12/27/2024 12:25:20,12/27/24,1,Exit, Market,,,,,1,95065,95065.0
156139710087,APEX2480900000012,156139710087, Buy,MNQH5,MNQ,Micro E-mini NASDAQ-100,21581.25,4,12/27/2024 12:27:03,156139710087, Filled,-2,0,0.25,,156139710087,12/27/2024 12:27:03,12/27/24,4,Exit, Market,,,,,4,21581.25,21581.25
156139710099,APEX2480900000012,156139710099, Buy,MNQH5,MNQ,Micro E-mini NASDAQ-100,,,,156139710102, Canceled,-2,0,0.25,,156139710102,12/27/2024 13:01:08,12/27/24,4,Chart, Limit,21637.50,,21637.5,,,,
156139710109,APEX2480900000012,156139710109, Buy,MNQH5,MNQ,Micro E-mini NASDAQ-100,,,,156139710109, Canceled,-2,0,0.25,,156139710109,12/27/2024 13:03:15,12/27/24,4,Chart, Limit,21637.25,,21637.25,,,,
156139710112,APEX2480900000012,156139710112, Buy,MNQH5,MNQ,Micro E-mini NASDAQ-100,21669.25,4,12/27/2024 13:05:13,156139710112, Filled,-2,0,0.25,,156139710112,12/27/2024 13:05:13,12/27/24,4,Chart, Market,,,,,4,21669.25,21669.25
156139710118,APEX2480900000012,156139710118, Sell,MNQH5,MNQ,Micro E-mini NASDAQ-100,,,,156139710118, Canceled,-2,0,0.25,,156139710118,12/27/2024 13:05:30,12/27/24,4,Chart, Stop,,21656.50,,21656.5,,,
156139710121,APEX2480900000012,156139710121, Sell,MNQH5,MNQ,Micro E-mini NASDAQ-100,21681.0,4,12/27/2024 13:06:57,156139710121, Filled,-2,0,0.25,,156139710121,12/27/2024 13:06:57,12/27/24,4,Chart, Market,,,,,4,21681.00,21681.0
156139710135,APEX2480900000012,156139710135, Sell,MNQH5,MNQ,Micro E-mini NASDAQ-100,,,,156139710135, Canceled,-2,0,0.25,,156139710135,12/27/2024 13:07:58,12/27/24,4,Chart, Limit,21709.25,,21709.25,,,,
156139710141,APEX2480900000012,156139710141, Buy,MNQH5,MNQ,Micro E-mini NASDAQ-100,,,,156139710141, Canceled,-2,0,0.25,,156139710141,12/27/2024 13:12:16,12/27/24,3,Chart, Limit,21595.50,,21595.5,,,,
156139710144,APEX2480900000012,156139710144, Sell,MNQH5,MNQ,Micro E-mini NASDAQ-100,21667.75,3,12/27/2024 13:12:45,156139710144, Filled,-2,0,0.25,,156139710144,12/27/2024 13:12:45,12/27/24,3,Chart, Market,,,,,3,21667.75,21667.75
156139710150,APEX2480900000012,156139710150, Sell,MNQH5,MNQ,Micro E-mini NASDAQ-100,,,,156139710150, Canceled,-2,0,0.25,,156139710150,12/27/2024 13:12:57,12/27/24,3,Chart, Limit,21683.00,,21683.0,,,,
156139710156,APEX2480900000012,156139710156, Buy,MNQH5,MNQ,Micro E-mini NASDAQ-100,,,,156139710174, Canceled,-2,0,0.25,,156139710174,12/27/2024 13:17:54,12/27/24,3,Chart, Stop,,21672.25,,21672.25,,,
156139710159,APEX2480900000012,156139710159, Sell,MNQH5,MNQ,Micro E-mini NASDAQ-100,,,,156139710162, Canceled,-2,0,0.25,,156139710162,12/27/2024 13:14:03,12/27/24,3,Chart, Stop,,21634.00,,21634.0,,,
156139710187,APEX2480900000012,156139710187, Buy,MNQH5,MNQ,Micro E-mini NASDAQ-100,21667.5,3,12/27/2024 13:18:19,156139710187, Filled,-2,0,0.25,,156139710187,12/27/2024 13:18:19,12/27/24,3,Exit, Market,,,,,3,21667.50,21667.5
156139710195,APEX2480900000012,156139710195, Sell,MNQH5,MNQ,Micro E-mini NASDAQ-100,21646.25,3,12/27/2024 13:23:31,156139710195, Filled,-2,0,0.25,,156139710195,12/27/2024 13:23:31,12/27/24,3,Chart, Market,,,,,3,21646.25,21646.25
156139710201,APEX2480900000012,156139710201, Buy,MNQH5,MNQ,Micro E-mini NASDAQ-100,21647.0,3,12/27/2024 13:23:37,156139710201, Filled,-2,0,0.25,,156139710201,12/27/2024 13:23:37,12/27/24,3,Exit, Market,,,,,3,21647.00,21647.0
156139710209,APEX2480900000012,156139710209, Sell,MNQH5,MNQ,Micro E-mini NASDAQ-100,21651.25,3,12/27/2024 13:25:05,156139710209, Filled,-2,0,0.25,,156139710209,12/27/2024 13:25:05,12/27/24,3,Chart, Market,,,,,3,21651.25,21651.25
156139710215,APEX2480900000012,156139710215, Buy,MNQH5,MNQ,Micro E-mini NASDAQ-100,,,,156139710215, Canceled,-2,0,0.25,,156139710215,12/27/2024 13:25:12,12/27/24,3,Chart, Stop,,21651.25,,21651.25,,,
