symbol,_priceFormat,_priceFormatType,_tickSize,buyFillId,sellFillId,qty,buyPrice,sellPrice,pnl,boughtTimestamp,soldTimestamp,duration
MNQZ4,-2,0,0.25,147190162602,147190162628,3,21540.00,21530.25,$(58.50),12/10/2024 09:50:11,12/10/2024 09:53:10,2min 58sec
MNQZ4,-2,0,0.25,147190162606,147190162636,3,21534.25,21531.25,$(18.00),12/10/2024 09:50:11,12/10/2024 09:53:10,2min 58sec
MNQZ4,-2,0,0.25,147190162606,147190162650,1,21534.25,21531.00,$(6.50),12/10/2024 09:50:11,12/10/2024 09:53:40,3min 29sec
MNQZ4,-2,0,0.25,147190162622,147190162650,2,21523.00,21531.00,$32.00,12/10/2024 09:52:51,12/10/2024 09:53:40,49sec
MNQZ4,-2,0,0.25,147190162622,147190162666,1,21523.00,21530.25,$14.50,12/10/2024 09:52:51,12/10/2024 09:53:45,53sec
MBTZ4,0,0,5.0,147190162555,147190162700,1,96940,96530,$(41.00),12/10/2024 09:42:40,12/10/2024 09:55:33,12min 53sec
MBTZ4,0,0,5.0,147190162555,147190162708,1,96940,96530,$(41.00),12/10/2024 09:42:40,12/10/2024 09:55:33,12min 53sec
MBTZ4,0,0,5.0,147190162555,147190162738,1,96940,96555,$(38.50),12/10/2024 09:42:40,12/10/2024 09:57:00,14min 20sec
MBTZ4,0,0,5.0,147190162562,147190162738,1,96975,96555,$(42.00),12/10/2024 09:43:32,12/10/2024 09:57:00,13min 28sec
MBTZ4,0,0,5.0,147190162568,147190162738,1,97185,96555,$(63.00),12/10/2024 09:45:11,12/10/2024 09:57:00,11min 49sec
MBTZ4,0,0,5.0,147190162586,147190162738,1,96850,96555,$(29.50),12/10/2024 09:47:38,12/10/2024 09:57:00,9min 22sec
MBTZ4,0,0,5.0,147190162674,147190162738,1,96435,96555,$12.00,12/10/2024 09:54:50,12/10/2024 09:57:00,2min 10sec
MBTZ4,0,0,5.0,147190162680,147190162738,1,96440,96555,$11.50,12/10/2024 09:54:50,12/10/2024 09:57:00,2min 10sec
MBTZ4,0,0,5.0,147190162686,147190162738,1,96435,96555,$12.00,12/10/2024 09:54:50,12/10/2024 09:57:00,2min 9sec
MBTZ4,0,0,5.0,147190162692,147190162738,1,96385,96555,$17.00,12/10/2024 09:54:54,12/10/2024 09:57:00,2min 6sec
MNQZ4,-2,0,0.25,147190162760,147190162772,3,21504.50,21495.75,$(52.50),12/10/2024 10:00:12,12/10/2024 10:00:32,20sec
MNQZ4,-2,0,0.25,147190162766,147190162772,3,21500.50,21495.75,$(28.50),12/10/2024 10:00:23,12/10/2024 10:00:32,9sec
MNQZ4,-2,0,0.25,147190162794,147190162782,3,21494.00,21489.50,$(27.00),12/10/2024 10:01:56,12/10/2024 10:01:23,32sec
MNQZ4,-2,0,0.25,147190162794,147190162788,3,21494.00,21489.50,$(27.00),12/10/2024 10:01:56,12/10/2024 10:01:40,15sec
MNQZ4,-2,0,0.25,147190162804,147190162822,3,21510.00,21513.75,$22.50,12/10/2024 10:04:33,12/10/2024 10:04:38,5sec
MNQZ4,-2,0,0.25,147190162810,147190162830,3,21511.75,21513.75,$12.00,12/10/2024 10:04:35,12/10/2024 10:04:38,2sec
MNQZ4,-2,0,0.25,147190162816,147190162923,3,21511.75,21485.25,$(159.00),12/10/2024 10:04:36,12/10/2024 10:12:01,7min 24sec
MNQZ4,-2,0,0.25,147190162844,147190162923,3,21503.50,21485.25,$(109.50),12/10/2024 10:05:11,12/10/2024 10:12:01,6min 49sec
MNQZ4,-2,0,0.25,147190162856,147190162923,3,21484.75,21485.25,$3.00,12/10/2024 10:08:20,12/10/2024 10:12:01,3min 40sec
MNQZ4,-2,0,0.25,147190162862,147190162923,3,21484.25,21485.25,$6.00,12/10/2024 10:08:21,12/10/2024 10:12:01,3min 39sec
MNQZ4,-2,0,0.25,147190162868,147190162923,3,21484.50,21485.25,$4.50,12/10/2024 10:08:29,12/10/2024 10:12:01,3min 31sec
MNQZ4,-2,0,0.25,147190162874,147190162923,3,21479.50,21485.25,$34.50,12/10/2024 10:09:05,12/10/2024 10:12:01,2min 55sec
MNQZ4,-2,0,0.25,147190162880,147190162923,3,21479.25,21485.25,$36.00,12/10/2024 10:09:05,12/10/2024 10:12:01,2min 55sec
MNQZ4,-2,0,0.25,147190162886,147190162923,3,21477.50,21485.25,$46.50,12/10/2024 10:09:10,12/10/2024 10:12:01,2min 50sec
MNQZ4,-2,0,0.25,147190162892,147190162923,3,21476.75,21485.25,$51.00,12/10/2024 10:09:10,12/10/2024 10:12:01,2min 50sec
